,Month,crime_count,ethnic_percent_in_ethnic_population,house_price_to_earning_ratio,economically_inactive_percent,unemployed_percent,qualification_index_score,no_qualifications,level_4_qualifications_and_above
0,2021-01-01,95,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
1,2021-02-01,88,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
2,2021-03-01,130,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
3,2021-04-01,121,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
4,2021-05-01,145,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
5,2021-06-01,135,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
6,2021-07-01,158,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
7,2021-08-01,109,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
8,2021-09-01,131,0.1082980251311555,13.61,40.9,2.7,2.3,19.5,27.9
9,2021-01-01,212,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
10,2021-02-01,198,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
11,2021-03-01,211,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
12,2021-04-01,281,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
13,2021-05-01,293,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
14,2021-06-01,335,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
15,2021-07-01,355,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
16,2021-08-01,299,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
17,2021-09-01,327,0.1613370932624141,6.6,42.8,2.2,2.31,20.6,28.4
18,2021-01-01,250,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
19,2021-02-01,284,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
20,2021-03-01,362,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
21,2021-04-01,347,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
22,2021-05-01,363,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
23,2021-06-01,425,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
24,2021-07-01,403,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
25,2021-08-01,338,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
26,2021-09-01,289,0.21176028327862584,6.77,40.4,2.3,2.33,19.7,28.8
27,2021-01-01,316,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
28,2021-02-01,326,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
29,2021-03-01,365,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
30,2021-04-01,389,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
31,2021-05-01,403,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
32,2021-06-01,378,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
33,2021-07-01,393,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
34,2021-08-01,376,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
35,2021-09-01,359,0.2766672833583942,12.13,44.9,2.6,2.26,19.7,26.4
36,2021-01-01,272,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
37,2021-02-01,275,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
38,2021-03-01,337,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
39,2021-04-01,346,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
40,2021-05-01,377,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
41,2021-06-01,369,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
42,2021-07-01,445,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
43,2021-08-01,347,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
44,2021-09-01,322,0.21191968572951067,6.23,40.2,3,2.09,23.6,21.6
45,2021-01-01,338,0.22273891734325177,10.77,37.5,2.9,2.37,17.6,30.1
46,2021-02-01,303,0.22273891734325177,10.77,37.5,2.9,2.37,17.6,30.1
47,2021-03-01,453,0.22273891734325177,10.77,37.5,2.9,2.37,17.6,30.1
48,2021-04-01,448,0.22273891734325177,10.77,37.5,2.9,2.37,17.6,30.1
49,2021-05-01,496,0.22273891734325177,10.77,37.5,2.9,2.37,17.6,30.1
